Name,Publisher,Developer,Total Sales,NA Sales,Japan Sales,Release Date,Last Update,rating,ratings_count,metacritic,genres
Grand Theft Auto V,Rockstar Games,Rockstar North,20320000,6370000,990000,9/17/2013,,4.47,7225,92,Action
Grand Theft Auto V,Rockstar Games,Rockstar North,19390000,6060000,600000,11/18/2014,1/3/2018,4.47,7225,92,Action
Call of Duty: Black Ops 3,Activision,Treyarch,15090000,6180000,410000,11/6/2015,1/14/2018,,,,
Red Dead Redemption 2,Rockstar Games,Rockstar Games,13940000,5260000,210000,10/26/2018,11/2/2018,4.59,5357,96,Action
Call of Duty: Black Ops II,Activision,Treyarch,13800000,4990000,650000,11/13/2012,,3.96,1417,74,"Shooter, Action"
Call of Duty: WWII,Activision,Sledgehammer Games,13400000,4670000,400000,11/3/2017,12/31/2017,3.54,1171,77,"Shooter, Action"
Call of Duty: Modern Warfare 3,Activision,Infinity Ward,13350000,5540000,490000,11/8/2011,,3.78,1627,85,"Shooter, Action"
Call of Duty: Black Ops,Activision,Treyarch,12670000,6010000,480000,11/9/2010,,4.05,1846,81,"Shooter, Action"
FIFA 18,EA Sports,EA Vancouver,11800000,1270000,150000,9/29/2017,4/2/2018,3.36,700,79,Sports
FIFA 17,Electronic Arts,EA Canada,10940000,1260000,120000,9/27/2016,3/28/2018,3.31,588,85,Sports
Call of Duty: Modern Warfare 2,Activision,Infinity Ward,10610000,4990000,380000,11/10/2009,,4.27,2049,86,Shooter
Grand Theft Auto IV,Rockstar Games,Rockstar North,10570000,4790000,440000,4/29/2008,,4.26,3068,95,Action
Uncharted 4: A Thief's End,Sony Interactive Entertainment,Naughty Dog,10330000,4490000,210000,5/10/2016,9/23/2018,,,,
Call of Duty: Ghosts,Activision,Infinity Ward,10130000,4110000.000000001,390000,11/5/2013,,3.15,842,68,"Shooter, Action"
Call of Duty: Black Ops IIII,Activision,Treyarch,9320000,4050000,500000,10/12/2018,11/7/2018,,,,
FIFA 19,Electronic Arts,EA Sports,9150000,840000,100000,9/28/2018,9/12/2018,3.31,650,80,"Simulation, Sports"
Marvel's Spider-Man,Sony Interactive Entertainment,Insomniac Games,8760000,3640000,320000,9/7/2018,9/26/2018,4.45,3652,87,Action
Call of Duty: Infinite Warfare,Activision,Infinity Ward,8480000,3110000,190000,11/4/2016,1/14/2018,3.58,627,73,"Shooter, Action"
Fallout 4,Bethesda Softworks,Bethesda Game Studios,8480000,2910000,270000,11/10/2015,3/24/2018,3.81,3385,84,"Action, RPG"
FIFA 16,EA Sports,EA Canada,8220000.000000001,1150000,70000,9/22/2015,4/1/2018,,,,
Star Wars Battlefront (2015),Electronic Arts,EA DICE,8029999.999999999,3310000,230000,11/17/2015,3/24/2018,,,,
FIFA 13,EA Sports,EA Canada,8010000,1070000,130000,9/25/2012,,3.75,166,78,Sports
Call of Duty: Advanced Warfare,Activision,Sledgehammer Games,7530000,2840000,140000,11/4/2014,1/4/2018,3.47,862,78,"Shooter, Action"
Battlefield 1,Electronic Arts,EA DICE,7260000,2200000,290000,10/21/2016,3/24/2018,3.84,1960,88,"Shooter, Action"
Battlefield 3,Electronic Arts,Dice,7210000,2860000,350000,10/25/2011,,4.07,1356,86,"Shooter, Action"
The Last of Us Remastered,Sony Computer Entertainment,Naughty Dog,6770000,2700000,110000,7/29/2014,9/24/2018,4.69,2842,95,"Adventure, Action"
Uncharted 2: Among Thieves,Sony Computer Entertainment,Naughty Dog,6740000,3280000,210000,10/13/2009,,4.39,1775,96,"Shooter, Action"
Call of Duty 4: Modern Warfare,Activision,Infinity Ward,6720000,3130000,280000,11/5/2007,,4.39,1813,92,"Shooter, Action"
FIFA Soccer 12,EA Sports,EA Canada,6650000,840000,110000,9/27/2011,,,,,
FIFA 14,EA Sports,EA Canada,6610000,790000,70000,9/24/2013,,3.43,458,86,Sports
Red Dead Redemption,Rockstar Games,Rockstar San Diego,6570000,2820000,170000,10/11/2011,,4.42,2158,95,"Shooter, Action"
Assassin's Creed III,Ubisoft,Ubisoft Montreal,6500000,2650000,160000,10/30/2012,,,,,
The Elder Scrolls V: Skyrim,Bethesda Softworks,Bethesda Game Studios,6490000,2570000,250000,11/11/2011,,4.42,4834,94,"Action, RPG"
Minecraft,Sony Computer Entertainment,Mojang,6330000,1890000,350000,10/7/2014,9/14/2018,4.43,3056,83,"Action, Arcade, Simulation, Indie, Massively Multiplayer"
FIFA 15,EA Sports,EA Canada,6320000,830000,50000,9/23/2014,3/23/2018,3.37,509,82,Sports
God of War (2018),Sony Interactive Entertainment,SIE Santa Monica Studio,6150000,2830000,130000,4/20/2018,5/26/2022,4.55,5051,94,Action
Minecraft,Sony Computer Entertainment America,Mojang,6050000,2210000,0,5/16/2014,,4.43,3056,83,"Action, Arcade, Simulation, Indie, Massively Multiplayer"
Horizon: Zero Dawn,Sony Interactive Entertainment,Guerrilla Games,5820000,2200000,280000,2/28/2017,9/24/2020,,,,
Destiny,Activision,Bungie,5760000,2530000,160000,9/9/2014,1/12/2018,3.69,1062,76,"Shooter, Action"
